ID,imdb_title_id,title,original_title,Year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
44870,tt0443701,The X Files: I Want to Believe,The X Files: I Want to Believe,2008,8/1/2008,"Drama, Horror, Mystery",104,"USA, Canada","English, Russian, Czech",Chris Carter,"Frank Spotnitz, Chris Carter",Twentieth Century Fox,"David Duchovny, Gillian Anderson, Amanda Peet, Billy Connolly, Xzibit, Mitch Pileggi, Callum Keith Rennie, Adam Godley, Alex Diakun, Nicki Aycox, Fagin Woodcock, Marco Niccoli, Carrie Ruscheinsky, Spencer Maybee, Veronika Hadrava",Mulder and Scully are called back to duty by the FBI when a former priest claims to be receiving psychic visions pertaining to a kidnapped agent.,5.9,86559,"$30,000,000","$20,982,478","$68,369,434",47,503,270
44872,tt0443708,Page 3,Page 3,2005,1/21/2005,Drama,139,India,"Hindi, English",Madhur Bhandarkar,"Nina Arora, Madhur Bhandarkar",Percept Picture Company,"Konkona Sen Sharma, Atul Kulkarni, Sandhya Mridul, Tara Sharma, Boman Irani, Bikram Saluja, Upendra Limaye, Jai Kalra, Soni Razdan, Anju Mahendru, Suchitra Pillai, Kunickaa Sadanand, Navni Parihar, Madan Jain, Suhasini Mulay",A look at Mumbai's socialite party circle world through the eyes of a Page 3 journalist.,7.3,6476,,,,,29,13
44878,tt0443771,Robotech: The Shadow Chronicles,Robotech: The Shadow Chronicles,2006,1/5/2007,"Animation, Action, Adventure",88,USA,English,"Dong-Wook Lee, Tommy Yune","Carl Macek, Tommy Yune",Harmony Gold,"Richard Epcar, Eddie Frierson, Mark Hamill, Alexandra Kenworthy, Yuri Lowenthal, Melanie MacQueen, Chase Masterson, Edie Mirman, Iona Morris, Tony Oliver, Arthur Santiago, Gregory Snegoff, Michael Sorich, Kari Wahlgren, Dan Woren","Picking up where the original series left off, Scott Bernard continues his search for Rick Hunter and the fate of the SDF-3.",6.5,1446,,,,,47,27
44892,tt0444669,Miracle at Sage Creek,Miracle at Sage Creek,2005,11/25/2005,"Action, Drama, Family",90,USA,English,James Intveld,Thadd Turner,Talmarc Film Productions,"David Carradine, Wes Studi, Michael Parks, Tim Abell, Sarah Aldrich, Irene Bedard, Mark Rolston, Daniel Quinn, Darian Weiss, Masam Holden, Buck Taylor, Tracy Nelson, Rance Howard, Francine York, Brian Libby",Two families overcome prejudice and tragedy in 1888 Wyoming when a special Christmas miracle saves the life of a small boy.,5.5,515,"$3,500,000",,,,38,4
44902,tt0444840,Humko Deewana Kar Gaye,Humko Deewana Kar Gaye,2006,4/14/2006,"Drama, Romance",155,India,Hindi,Raj Kanwar,"Sudhanshu Dube, Raj Kanwar",Inderjit Films Combine,"Akshay Kumar, Katrina Kaif, Bipasha Basu, Bhagyashree, Shernaz Patel, Vivek Shauq, Helen, Mahesh Thakur, Ranjeet, Nina Kulkarni, Puneet Issar, Anju Mahendru, Delnaaz Irani, Manoj Joshi, Upasna Singh","Ravishing Jia A. Yashvardhan lives a very wealthy, though lonely, lifestyle in India with her widowed father Industrialist, A.J. Yashvardhan. In a bid to augment his business, he arranges ...",5.2,3709,,"$250,083","$1,149,417",,18,14
44903,tt0444849,Karam,Karam,2005,3/11/2005,"Action, Thriller",117,India,Hindi,Sanjay F. Gupta,Suparn Verma,Baweja Movies,"John Abraham, Priyanka Chopra, Bharat Dabholkar, Vishwajeet Pradhan, Shiney Ahuja, Anjan Srivastav, Bikramjeet Kanwarpal, Murli Sharma, Kanwar Pal, Rajesh Khera, Aakash, Nitin Arora, Pear Barsiwala, Ashok Beniwal, Pawan Chopra",A guilt-ridden hitman quits his job after a traumatic killing but his former boss kidnaps his wife in order to make him do one last job.,5.5,1214,,,,,15,7
44904,tt0444874,Main Aisa Hi Hoon,Main Aisa Hi Hoon,2005,5/6/2005,"Drama, Family, Musical",162,India,Hindi,Harry Baweja,"Harry Baweja, Bhavani Iyer",Baweja Movies,"Ajay Devgn, Sushmita Sen, Esha Deol, Anupam Kher, Rucha Vaidya, Raj Gokani, Anjan Srivastav, Vikram Gokhale, Lillete Dubey, Naresh Suri, Dinesh Lamba, Sanjay Sood, Kaveri Ghosh, Rita Puri, Dhara Saraswati",An autistic man fights for her daughter's custody in court and in the process he teaches his cold-blooded lawyer the meaning of love and life.,4.7,922,,,,,14,19
44951,tt0446029,Scott Pilgrim vs. the World,Scott Pilgrim vs. the World,2010,8/25/2010,"Action, Comedy, Fantasy",112,"USA, UK, Canada, Japan",English,Edgar Wright,"Michael Bacall, Edgar Wright",Universal Pictures,"Michael Cera, Kieran Culkin, Anna Kendrick, Alison Pill, Aubrey Plaza, Mary Elizabeth Winstead, Jason Schwartzman, Johnny Simmons, Mark Webber, Ellen Wong, Satya Bhabha, Will Bowes, Celine Lepage, Keita Saitou, Mark Leroy",Scott Pilgrim must defeat his new girlfriend's seven evil exes in order to win her heart.,7.5,347781,"$60,000,000","$31,524,275","$47,664,559",69,610,410
44962,tt0446309,Death by Engagement,Death by Engagement,2005,10/2/2007,"Horror, Comedy",99,USA,English,Philip Creager,Philip Creager,Rounding 3rd Productions,"Sascha Knopf, Aaron McPherson, P.J. Soles, Iyari Limon, Christa Campbell, Ryan Hansen, Jilon VanOver, Julian Berlin, Brandon Largent, Jeffrey Vincent Parise, John Barry, Brian Patrick Wade, Edie Dearing, Jodie Tate, Sam Stefanski","A cursed ring bounces through an ensemble of desperate-to-be married young women, bringing brutal deaths to all who wear it.",4,184,"$800,000",,,,6,9
44984,tt0446719,Isolation,Isolation,2005,9/29/2006,"Horror, Sci-Fi, Thriller",95,"UK, Ireland, USA",English,Billy O'Brien,Billy O'Brien,Film Four,"Essie Davis, Sean Harris, Marcel Iures, Crispin Letts, John Lynch, Ruth Negga, Stanley Townsend","On a remote Irish farm, five people become unwilling participants in an experiment that goes nightmarishly wrong.",5.6,6396,GBP 2900000,,"$278,056",,63,78
